timestep,time_s,E1_watts,E2_watts,E3_watts,E1_dbm,E2_dbm,E3_dbm
0,0.0,4.753377478051e-07,6.290302883681e-07,1.451736945797e-07,-33.229977,-32.013284,-38.381121
1,0.5,6.128796403676e-07,4.819138390592e-07,1.501110047870e-07,-32.126248,-33.170306,-38.235875
2,1.0,7.835202216482e-07,3.794149804192e-07,1.553049367196e-07,-31.059498,-34.208855,-38.088147
3,1.5,9.554666108195e-07,3.058544641195e-07,1.607727767299e-07,-30.197845,-35.144852,-37.937875
4,2.0,1.042286823143e-06,2.816999314409e-07,1.657910373981e-07,-29.820128,-35.502133,-37.804390
5,2.5,1.102102818074e-06,2.948195879586e-07,1.702264000411e-07,-29.577779,-35.304437,-37.689731
6,3.0,1.161440306873e-06,3.094141259637e-07,1.746638342152e-07,-29.350031,-35.094599,-37.577970
7,3.5,1.218917964213e-06,3.248601923467e-07,1.790828836992e-07,-29.140255,-34.883035,-37.469459
8,4.0,1.189054309307e-06,4.082674532808e-07,1.830905629818e-07,-29.247983,-33.890552,-37.373340
9,4.5,1.144186415887e-06,5.307375652365e-07,1.868586146783e-07,-29.415032,-32.751202,-37.284869
10,5.0,1.087778746951e-06,7.229225850858e-07,1.903439737005e-07,-29.634594,-31.409082,-37.204609
11,5.5,1.125954645333e-06,1.033982399035e-06,2.005113729467e-07,-29.484791,-29.854869,-36.978610
12,6.0,1.334887629855e-06,2.326153107538e-06,2.068362026877e-07,-28.745553,-26.333617,-36.843734
13,6.5,1.606638420877e-06,1.389410342386e-05,2.124958042401e-07,-27.940819,-18.571695,-36.726496
14,7.0,1.967741904107e-06,9.882146028054e-05,2.173846712892e-07,-27.060319,-10.051487,-36.627711
15,7.5,2.592250141574e-06,9.882174844265e-05,2.210539157005e-07,-25.863231,-10.051475,-36.555018
16,8.0,3.285905800976e-06,5.937326672761e-05,2.251812776176e-07,-24.833449,-12.264091,-36.474677
17,8.5,3.809053804960e-06,2.961614281694e-05,2.264735943144e-07,-24.191829,-15.284715,-36.449824
18,9.0,3.631430500889e-06,1.754911913519e-05,2.281577096484e-07,-24.399223,-17.557447,-36.417649
19,9.5,7.649164145208e-05,1.156302934622e-05,2.267305408575e-07,-11.163860,-19.369284,-36.444900
20,10.0,3.160188451152e-05,8.316941410928e-06,2.451473864920e-07,-15.002870,-20.800364,-36.105727
21,10.5,1.356871521927e-05,5.972687306905e-06,3.767657867447e-07,-18.674613,-22.238302,-34.239285
22,11.0,1.394377536402e-05,4.386276992151e-06,6.482483714351e-07,-18.556196,-23.579039,-31.882586
23,11.5,7.134088996041e-06,7.413586027134e-06,1.235105994636e-06,-21.466615,-21.299717,-29.082958
24,12.0,6.532506685496e-06,4.834180867460e-06,5.518009113584e-06,-21.849201,-23.156771,-22.582176
25,12.5,5.727839860289e-06,8.037936684892e-06,9.131877889630e-05,-22.420091,-20.948554,-10.394399
26,13.0,4.034253230987e-06,1.925385692667e-05,5.892654354566e-05,-23.942368,-17.154823,-12.296890
27,13.5,4.279254802512e-06,1.061347736061e-05,3.267006482633e-05,-23.686319,-19.741423,-14.858500
28,14.0,5.428639451690e-06,2.061926791020e-05,2.144564855895e-05,-22.653090,-16.857268,-16.686608
29,14.5,6.214764955989e-06,1.003308034934e-05,1.445388479242e-05,-22.065753,-19.985657,-18.400154
30,15.0,4.403654310699e-06,1.065273027209e-05,1.017733201036e-05,-23.561868,-19.725391,-19.923661
31,15.5,6.218217510391e-06,9.883381455565e-05,7.472527623135e-06,-22.063341,-10.050944,-21.265325
32,16.0,9.224455102265e-06,5.556030892820e-05,6.941630938603e-06,-20.350593,-12.552353,-21.585385
33,16.5,7.093242136029e-06,2.484456983360e-05,7.907799744670e-06,-21.491552,-16.047685,-21.019443
34,17.0,1.354775222807e-05,9.726293394509e-06,1.172963365570e-05,-18.681328,-20.120526,-19.307156
35,17.5,1.279707347919e-05,3.389001490039e-05,1.739829416698e-05,-18.928893,-14.699282,-17.594933
36,18.0,1.841356247335e-05,6.614065957373e-05,2.257340825225e-05,-17.348622,-11.795315,-16.464029
37,18.5,1.033774456932e-05,6.292593767507e-05,1.576287384458e-05,-19.855742,-12.011703,-18.023646
38,19.0,1.794235574823e-05,9.883340809332e-05,1.834036640809e-05,-17.461205,-10.050962,-17.365920
39,19.5,7.145571900228e-06,8.124473725846e-05,3.165017019401e-05,-21.459630,-10.902048,-14.996240
40,20.0,9.499770562495e-06,9.883292524935e-05,2.281957340512e-05,-20.222869,-10.050984,-16.416925
