timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
0,0.0,154.791210,87.775688,51.515875,139.473606,18.835470,58.537341,152.227940,157.212861,7.686818,132.445601,97.364927,26.580459,136.712352,8.611283,20.877157,169.121499,176.292450,27.602587,172.409444,180.268737,24.535560,122.900576,49.589670,51.680025,135.638935,24.497672,50.332083,150.584347,74.597186,56.882454,14,+x+y-z,147.348360,8.866854,56.343801,24,-x-y,127.048477,168.277531,8.725974,9,+x
1,0.5,157.289210,87.775688,51.615849,136.975606,18.835470,58.637314,154.725941,157.212861,7.786791,134.941858,97.398565,26.713018,134.215331,8.645942,20.994134,171.615980,176.349306,27.758566,174.907398,180.243073,24.633375,120.403263,49.534714,51.782053,133.140101,24.462006,50.399609,152.316397,76.329236,55.150403,14,+x+y-z,145.227039,6.745533,56.343801,24,-x-y,130.048477,168.277531,8.725974,9,+x
2,1.0,159.787210,87.775688,51.715822,134.477605,18.835470,58.737288,157.223941,157.212861,7.886765,137.438114,97.432202,26.845577,131.718310,8.680600,21.111112,174.110462,176.406162,27.914545,177.405352,180.217409,24.731191,117.905951,49.479758,51.884081,130.641268,24.426340,50.467136,154.048448,78.061287,53.418353,14,+x+y-z,143.105719,4.624213,56.343801,24,-x-y,133.048477,168.277531,8.725974,9,+x
3,1.5,162.285211,87.775688,51.815795,131.979605,18.835470,58.837261,159.721941,157.212861,7.986738,139.934371,97.465840,26.978136,129.221289,8.715259,21.228089,176.604943,176.463019,28.070523,179.903306,180.191744,24.829007,115.408638,49.424801,51.986109,128.142435,24.390674,50.534662,155.780499,79.793338,51.686302,14,+x+y-z,140.984399,2.502893,56.343801,24,-x-y,136.048477,168.277531,8.725974,9,+x
4,2.0,164.776499,87.941382,51.689190,129.605566,18.061522,58.959509,162.180438,156.942306,8.350871,142.394500,97.333922,27.402824,126.731924,8.485274,21.241064,179.065490,176.072945,28.279213,182.341395,179.641549,24.883843,112.947723,49.830122,52.158194,125.659362,24.667586,50.622244,157.512550,81.525389,49.954251,9,+x,138.863078,1.000000,56.343801,24,-x-y,139.048477,168.277531,8.725974,9,+x
5,2.5,167.267787,88.107076,51.562585,127.231527,17.287574,59.000000,164.638935,156.671751,8.715004,144.854630,97.202004,27.827513,124.242558,8.255290,21.254039,181.526037,175.682872,28.487903,184.779484,179.091354,24.938679,110.486808,50.235442,52.330279,123.176290,24.944497,50.709825,160.512550,81.525389,49.954251,9,+x,136.741758,1.000000,56.343801,24,-x-y,142.048477,168.277531,8.725974,9,+x
6,3.0,169.759075,88.272770,51.435980,124.857488,16.513627,58.877752,167.097432,156.401195,9.079137,147.314759,97.070087,28.252201,121.753193,8.025305,21.267014,183.986584,175.292799,28.696593,187.217573,178.541159,24.993514,108.025894,50.640763,52.502365,120.693217,25.221409,50.797407,163.512550,81.525389,49.954251,9,+x,134.620438,1.000000,56.343801,24,-x-y,145.048477,168.277531,8.725974,9,+x
7,3.5,172.250363,88.438464,51.309375,122.483450,15.739679,58.755504,169.555929,156.130640,9.443270,149.774889,96.938169,28.676889,119.263828,7.795320,21.279989,186.447131,174.902725,28.905283,189.655662,177.990964,25.048350,105.564979,51.046083,52.674450,118.210145,25.498321,50.884989,166.512550,81.525389,49.954251,9,+x,132.499117,1.000000,56.343801,24,-x-y,148.048477,168.277531,8.725974,9,+x
8,4.0,174.686289,88.991701,51.410345,121.099874,13.662673,58.903037,171.976063,155.745699,9.938012,152.176420,96.926544,29.371522,117.634841,5.919449,21.001593,188.911252,174.522398,29.088201,192.110867,178.164494,25.486365,103.269803,51.971117,53.030092,117.277844,27.807656,50.666382,169.512550,81.525389,49.954251,9,+x,130.377797,1.000000,56.343801,24,-x-y,151.048477,168.277531,8.725974,9,+x
9,4.5,177.122214,89.544939,51.511316,119.716299,11.585667,59.000000,174.396198,155.360758,10.432754,154.577950,96.914918,30.066155,116.005853,4.043577,20.723197,191.375373,174.142071,29.271119,194.566072,178.338024,25.924380,100.974628,52.896151,53.385734,116.345543,30.116990,50.447776,172.512550,81.525389,49.954251,9,+x,128.256477,1.000000,56.343801,24,-x-y,154.048477,168.277531,8.725974,9,+x
