timestep,time_s,E1_watts,E2_watts,E3_watts,E1_dbm,E2_dbm,E3_dbm
0,0.0,5.136868744652e-07,2.725465899437e-07,5.337694468909e-07,-32.893015,-35.645592,-32.726463
1,0.5,6.347687855995e-07,3.306616973648e-07,6.626341627340e-07,-31.973844,-34.806161,-31.787262
2,1.0,7.675171424790e-07,4.080320504239e-07,7.865534371137e-07,-31.149119,-33.893057,-31.042718
3,1.5,8.154744018753e-07,5.114570138672e-07,8.587326725307e-07,-30.885897,-32.911909,-30.661420
4,2.0,8.736970786309e-07,5.926991954692e-07,9.652026963247e-07,-30.586391,-32.271657,-30.153815
5,2.5,9.378584956978e-07,6.923634934781e-07,1.091007467198e-06,-30.278627,-31.596658,-29.621723
6,3.0,1.142788526439e-06,8.193101578189e-07,1.240116643912e-06,-29.420341,-30.865517,-29.065375
7,3.5,1.260856751828e-06,9.688431022909e-07,1.417873814407e-06,-28.993343,-30.137465,-28.483624
8,4.0,1.502135107004e-06,1.044599855884e-06,1.653253492071e-06,-28.232910,-29.810500,-27.816606
9,4.5,1.821002671450e-06,1.124948401477e-06,1.928722100728e-06,-27.396894,-29.488674,-27.147303
10,5.0,2.252589733061e-06,1.232372083509e-06,2.240830591608e-06,-26.473179,-29.092581,-26.495910
11,5.5,2.853333315914e-06,1.377652191743e-06,2.574990328777e-06,-25.446475,-28.608604,-25.892244
12,6.0,2.984737403231e-06,1.480788122586e-06,2.602081473045e-06,-25.250939,-28.295071,-25.846791
13,6.5,3.290090927434e-06,1.247064204357e-06,2.683362846296e-06,-24.827921,-29.041112,-25.713206
14,7.0,3.635507339922e-06,1.547771051727e-06,2.630911704053e-06,-24.394350,-28.102933,-25.798937
15,7.5,3.855305157759e-06,5.449922288862e-06,2.403246058154e-06,-24.139412,-22.636097,-26.192018
16,8.0,3.884311986896e-06,4.877781970563e-06,2.122709967102e-06,-24.106859,-23.117776,-26.731093
17,8.5,4.486510071362e-06,4.855783783444e-05,2.841406943199e-06,-23.480914,-13.137407,-25.464666
18,9.0,5.165598361955e-06,9.882131673477e-05,3.792864711253e-06,-22.868794,-10.051494,-24.210326
19,9.5,2.031984997139e-05,9.882170174446e-05,4.839251715936e-06,-16.920795,-10.051477,-23.152218
20,10.0,4.254294420351e-05,7.462986816448e-05,9.522064139698e-06,-13.711725,-11.270873,-20.212689
21,10.5,4.685614225329e-05,2.683097957130e-05,1.144132278888e-05,-13.292335,-15.713635,-19.415238
22,11.0,2.340570778840e-05,1.692920655279e-05,1.773160901597e-05,-16.306782,-17.713634,-17.512519
23,11.5,1.142156036855e-05,9.767253287727e-05,1.907236069426e-05,-19.422746,-10.102275,-17.195955
24,12.0,1.161041448541e-05,2.163058813388e-05,1.360566640283e-05,-19.351523,-16.649317,-18.662802
25,12.5,1.071397808598e-05,4.687580788700e-05,9.790287243422e-06,-19.700492,-13.290512,-20.092046
26,13.0,9.161464809241e-06,7.826158468536e-05,7.228988850248e-06,-20.380351,-11.064514,-21.409224
27,13.5,6.413043527341e-06,4.859566663854e-05,5.494136711646e-06,-21.929358,-13.134025,-22.601005
28,14.0,9.161008353775e-06,2.928227824334e-05,4.332967660497e-06,-20.380567,-15.333951,-23.632146
29,14.5,1.126863613365e-05,2.684900699680e-05,4.896602048321e-06,-19.481286,-15.710718,-23.101052
30,15.0,5.373385857593e-06,1.639148857938e-05,1.487874568532e-05,-22.697520,-17.853816,-18.274337
31,15.5,8.160133392705e-06,1.762501452812e-05,1.059308521013e-05,-20.883027,-17.538705,-19.749775
32,16.0,1.595480493425e-05,1.389530850275e-05,1.087923428084e-05,-17.971085,-18.571318,-19.634017
33,16.5,8.617264268769e-06,1.078146247307e-05,9.717579661687e-06,-20.646306,-19.673223,-20.124419
34,17.0,2.414322741373e-05,8.045194059300e-06,7.853347962632e-06,-16.172047,-20.944635,-21.049452
35,17.5,2.602099994961e-05,7.071759038251e-06,6.054925442156e-06,-15.846760,-21.504725,-22.178912
36,18.0,4.964586237560e-05,6.276367361080e-06,1.291539896076e-05,-13.041169,-22.022916,-18.888922
37,18.5,1.443163301615e-05,5.398534039061e-06,1.334136748847e-05,-18.406845,-22.677242,-18.747997
38,19.0,9.884081943737e-05,4.565174633202e-06,9.548116120439e-06,-10.050637,-23.405426,-20.200823
39,19.5,2.729422702664e-05,3.398322649454e-06,1.986884307298e-05,-15.639292,-24.687354,-17.018274
40,20.0,3.654694351418e-05,2.864998165367e-06,2.542828828464e-05,-14.371489,-25.428757,-15.946829
