timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
0,0.0,154.791210,87.775688,51.515875,139.473606,18.835470,58.537341,152.227940,157.212861,7.686818,174.909467,96.119486,36.179790,115.348423,40.937001,57.281221,136.097391,186.173660,4.026167,147.787083,98.363606,58.784755,17,+x-y-z,143.307653,37.894841,54.920493,24,-x-y,144.796842,162.837778,17.996213,17,+x-y-z
1,0.5,157.289210,87.775688,51.615849,136.975606,18.835470,58.637314,154.725941,157.212861,7.786791,172.411467,96.119486,36.079817,117.846423,40.937001,57.181248,133.599391,186.173660,3.926194,149.519134,96.631555,57.052705,17,+x-y-z,141.186333,35.773521,54.920493,24,-x-y,146.528893,161.105727,16.264162,17,+x-y-z
2,1.0,159.787210,87.775688,51.715822,134.477605,18.835470,58.737288,157.223941,157.212861,7.886765,169.913466,96.119486,35.979844,120.344424,40.937001,57.081274,131.101390,186.173660,3.826220,151.251184,94.899504,55.320654,9,+x,139.065012,33.652201,54.920493,24,-x-y,148.260943,159.373676,14.532111,17,+x-y-z
3,1.5,162.285211,87.775688,51.815795,131.979605,18.835470,58.837261,159.721941,157.212861,7.986738,167.415466,96.119486,35.879870,122.842424,40.937001,56.981301,128.603390,186.173660,3.726247,154.251184,94.899504,55.320654,9,+x,136.943692,31.530880,54.920493,24,-x-y,149.992994,157.641625,12.800061,9,+x
4,2.0,164.776499,87.941382,51.689190,129.605566,18.061522,58.959509,162.180438,156.942306,8.350871,164.928600,96.286469,36.073812,125.320115,41.200635,56.777482,126.144223,186.621183,3.679103,157.251184,94.899504,55.320654,9,+x,134.822371,29.409560,54.920493,24,-x-y,152.992994,157.641625,12.800061,9,+x
5,2.5,167.267787,88.107076,51.562585,127.231527,17.287574,59.000000,164.638935,156.671751,8.715004,162.441734,96.453452,36.267754,127.797807,41.464270,56.573664,123.685057,187.068706,3.631958,160.251184,94.899504,55.320654,17,+x-y-z,132.701051,27.288240,54.920493,24,-x-y,155.992994,157.641625,12.800061,9,+x
6,3.0,169.759075,88.272770,51.435980,124.857488,16.513627,58.877752,167.097432,156.401195,9.079137,159.954867,96.620435,36.461695,130.275498,41.727904,56.369845,121.225890,187.516229,3.584814,161.983235,93.167453,53.588603,9,+x,130.579731,25.166919,54.920493,24,-x-y,158.992994,157.641625,12.800061,9,+x
7,3.5,172.250363,88.438464,51.309375,122.483450,15.739679,58.755504,169.555929,156.130640,9.443270,157.468001,96.787419,36.655637,132.753190,41.991538,56.166026,118.766723,187.963752,3.537670,164.983235,93.167453,53.588603,9,+x,128.458410,23.045599,54.920493,24,-x-y,161.992994,157.641625,12.800061,9,+x
8,4.0,174.686289,88.991701,51.410345,121.099874,13.662673,58.903037,171.976063,155.745699,9.938012,155.012702,96.832393,37.124126,135.133150,42.577192,55.673279,116.306361,188.401117,3.464681,167.983235,93.167453,53.588603,9,+x,126.337090,20.924279,54.920493,24,-x-y,164.992994,157.641625,12.800061,9,+x
9,4.5,177.122214,89.544939,51.511316,119.716299,11.585667,59.000000,174.396198,155.360758,10.432754,152.557402,96.877368,37.592614,137.513110,43.162846,55.180532,113.845998,188.838482,3.391693,170.983235,93.167453,53.588603,9,+x,124.215770,18.802958,54.920493,24,-x-y,167.992994,157.641625,12.800061,9,+x
10,5.0,179.558140,90.098176,51.612286,118.332724,9.508661,58.852467,176.816332,154.975818,10.927496,150.102103,96.922342,38.061103,139.893070,43.748499,54.687785,111.385635,189.275846,3.318705,173.983235,93.167453,53.588603,9,+x,122.094449,16.681638,54.920493,25,-x-y+z,170.992994,157.641625,12.800061,9,+x
11,5.5,181.994065,90.651413,51.713257,116.949148,7.431656,58.704933,179.236467,154.590877,11.422238,147.646803,96.967316,38.529592,142.273030,44.334153,54.195038,108.925272,189.713211,3.245717,176.983235,93.167453,53.588603,9,+x,120.362399,14.949587,56.652543,24,-x-y,173.992994,157.641625,12.800061,9,+x
12,6.0,184.424963,90.097027,51.530515,117.253405,4.950241,58.708257,181.538248,153.626351,11.568836,145.154628,96.920288,38.721549,144.322529,45.677584,53.700318,106.435872,189.932442,3.315151,179.983235,93.167453,53.588603,17,+x-y-z,118.241078,12.828267,56.652543,15,+x-y,176.992994,157.641625,12.800061,17,+x-y-z
13,6.5,186.855860,89.542640,51.347773,117.557661,2.468827,58.711580,183.840030,152.661825,11.715433,142.662452,96.873259,38.913506,146.372027,47.021015,53.205597,103.946471,190.151673,3.384585,181.715286,91.435403,51.856552,9,+x,120.362399,10.706946,56.652543,25,-x-y+z,178.725045,155.909575,11.068010,9,+x
14,7.0,189.286757,88.988254,51.165030,117.861917,1.000000,58.714904,186.141812,151.697300,11.862030,140.170276,96.826231,39.105463,148.421526,48.364447,52.710877,101.457070,190.370903,3.454019,184.715286,91.435403,51.856552,9,+x,118.630348,8.974896,58.384594,15,+x-y,181.725045,155.909575,11.068010,9,+x
15,7.5,191.717654,88.433867,50.982288,118.166173,3.481414,58.718228,188.443594,150.732774,12.008628,137.678100,96.779202,39.297420,150.471024,49.707878,52.216156,98.967669,190.590134,3.523453,187.715286,91.435403,51.856552,17,+x-y-z,120.751668,6.853575,58.384594,5,+y-z,184.725045,155.909575,11.068010,9,+x
16,8.0,194.170094,88.002937,50.759048,118.254254,5.971120,58.509404,190.781025,149.847087,12.053045,135.996214,94.929688,39.321000,152.464865,51.188239,51.927838,96.471119,190.684440,3.614805,189.447337,89.703352,50.124501,9,+x,120.751668,8.974896,56.263274,25,-x-y+z,187.725045,155.909575,11.068010,15,+x-y
17,8.5,196.622534,87.572008,50.535807,118.342334,8.460826,58.300580,193.118456,148.961399,12.097461,134.314328,93.080173,39.344579,154.458706,52.668601,51.639519,93.974569,190.778745,3.706157,192.447337,89.703352,50.124501,9,+x,119.019617,7.242845,57.995325,3,+y,189.846365,153.788254,11.068010,15,+x-y
18,9.0,199.000000,87.141078,50.312567,118.430415,10.950531,58.091757,195.455888,148.075712,12.141878,132.632443,91.230658,39.368159,156.452547,54.148963,51.351201,91.478019,190.873051,3.797508,195.447337,89.703352,50.124501,17,+x-y-z,119.019617,10.242845,57.995325,3,+y,191.967686,151.666934,11.068010,15,+x-y
19,9.5,196.547560,86.710148,50.089326,118.518495,13.440237,57.882933,197.793319,147.190025,12.186295,130.950557,89.381144,39.391738,158.446388,55.629325,51.062883,88.981469,190.967356,3.888860,197.179388,87.971301,48.392451,24,-x-y,119.019617,13.242845,57.995325,3,+y,194.089006,149.545614,11.068010,15,+x-y
20,10.0,194.340647,85.597310,49.713654,118.007555,15.870333,57.593842,199.000000,146.436674,12.350639,130.695543,86.908423,39.657481,160.460575,57.092163,50.832334,86.587660,191.660515,4.086872,195.058067,85.849981,48.392451,24,-x-y,119.019617,16.242845,57.995325,3,+y,196.210326,147.424293,11.068010,24,-x-y
21,10.5,192.133735,84.484472,49.337981,117.496614,18.300429,57.304751,196.621880,145.683324,12.514984,130.440530,84.435702,39.923224,162.474763,58.555002,50.601786,84.193851,192.353675,4.284884,192.936747,83.728660,48.392451,24,-x-y,119.019617,19.242845,57.995325,5,+y-z,194.089006,145.302973,11.068010,19,-x+z
22,11.0,189.926823,83.371634,48.962309,116.985673,20.730525,57.015659,194.243760,144.929973,12.679328,130.185517,81.962981,40.188968,164.488950,60.017841,50.371238,81.800042,193.046834,4.482896,190.815427,81.607340,48.392451,24,-x-y,119.019617,21.364165,55.874004,21,-x+y,191.967686,145.302973,13.189330,24,-x-y
23,11.5,187.719911,82.258796,48.586636,116.474732,23.160620,56.726568,191.865640,144.176623,12.843672,129.930503,79.490260,40.454711,166.503137,61.480680,50.140689,79.406233,193.739993,4.680908,188.694106,79.486020,48.392451,24,-x-y,116.898297,23.485486,55.874004,3,+y,189.846365,143.181653,13.189330,24,-x-y
24,12.0,186.220708,80.264588,48.426870,115.228304,25.318073,56.522073,189.890406,142.646247,12.923656,131.203565,77.360377,40.759527,168.897844,62.151003,49.883694,77.064716,194.527953,5.063555,186.572786,77.364699,48.392451,24,-x-y,116.898297,26.485486,55.874004,21,-x+y,187.725045,141.060332,13.189330,24,-x-y
25,12.5,184.721505,78.270380,48.267104,113.981876,27.475525,56.317578,187.915171,141.115871,13.003641,132.476627,75.230494,41.064343,171.292550,62.821325,49.626698,74.723200,195.315912,5.446202,184.451466,75.243379,48.392451,24,-x-y,114.776977,28.606806,55.874004,21,-x+y,185.603725,138.939012,13.189330,24,-x-y
26,13.0,183.222303,76.276172,48.107338,112.735449,29.632977,56.113083,185.939937,139.585495,13.083625,133.749688,73.100611,41.369159,173.687257,63.491648,49.369702,72.381683,196.103872,5.828849,182.330145,73.122059,48.392451,17,+x-y-z,112.655656,30.728126,55.874004,21,-x+y,183.482404,136.817691,13.189330,24,-x-y
