timestep,time_s,E1_watts,E2_watts,E3_watts,E1_dbm,E2_dbm,E3_dbm
0,0.0,3.897346317174e-06,3.743277399007e-07,1.630210976413e-06,-24.092310,-34.267480,-27.877562
1,0.5,4.959858057007e-06,5.576264288605e-07,1.427294592844e-06,-23.045308,-32.536567,-28.454864
2,1.0,5.529196730029e-06,7.947411273667e-07,2.247958907264e-06,-22.573380,-30.997743,-26.482116
3,1.5,6.130125637808e-06,1.221037989620e-06,3.642033605950e-06,-22.125306,-29.132708,-24.386561
4,2.0,6.253255284160e-06,2.139687488191e-06,2.595695076457e-06,-22.038938,-26.696497,-25.857463
5,2.5,6.218919187671e-06,2.015468391663e-06,4.067030950023e-06,-22.062851,-26.956240,-23.907225
6,3.0,6.028777516166e-06,1.881738967392e-06,5.920590735309e-06,-22.197707,-27.254406,-22.276350
7,3.5,5.705480353050e-06,3.021963026125e-06,3.491081485920e-06,-22.437078,-25.197109,-24.570400
8,4.0,2.757387841973e-05,2.574709517471e-06,4.501435584192e-06,-15.595021,-25.892718,-23.466490
9,4.5,1.847367414684e-05,2.212482374384e-06,5.769021698497e-06,-17.334467,-26.551202,-22.388978
10,5.0,1.903523894715e-05,1.917084918561e-06,7.144136523999e-06,-17.204417,-27.173586,-21.460503
11,5.5,1.834114176405e-05,1.674143974891e-06,8.178126989860e-06,-17.365736,-27.762072,-20.873462
12,6.0,2.079848079333e-05,1.452506377567e-06,1.020881381143e-05,-16.819684,-28.378820,-19.910247
13,6.5,9.282352691562e-06,1.272127188749e-06,8.313130888327e-06,-20.323419,-28.954695,-20.802354
14,7.0,4.038239610060e-06,4.663814763678e-06,2.532785380811e-06,-23.938079,-23.312587,-25.964016
15,7.5,2.685762422623e-06,3.782810748674e-06,1.728284225661e-06,-25.709324,-24.221854,-27.623848
16,8.0,2.986268509789e-06,3.090527829767e-06,1.902105666049e-06,-25.248711,-25.099673,-27.207654
17,8.5,1.863151548906e-06,2.558200223360e-06,2.068596474824e-06,-27.297518,-25.920655,-26.843242
18,9.0,1.284334956034e-06,2.144625728499e-06,2.222032040674e-06,-28.913217,-26.686485,-26.532497
19,9.5,1.338981598861e-06,1.818899783994e-06,2.325584922143e-06,-28.732254,-27.401912,-26.334678
20,10.0,1.134501165036e-06,4.939485724166e-06,1.548346122590e-06,-29.451951,-23.063183,-28.101319
21,10.5,1.294238551748e-06,3.212321177635e-06,9.540117096916e-07,-28.879857,-24.931810,-30.204463
22,11.0,1.080358563466e-06,2.169021223193e-06,1.053283375928e-06,-29.664321,-26.637362,-29.774548
23,11.5,1.237906308260e-06,1.535601457298e-06,8.664946630538e-07,-29.073122,-28.137215,-30.622341
24,12.0,1.110750701806e-06,1.070897005613e-06,9.746394634129e-07,-29.543834,-29.702523,-30.111560
25,12.5,1.151878859553e-06,7.041351360561e-07,1.064691204796e-06,-29.385932,-31.523440,-29.727763
26,13.0,1.092622398272e-06,4.879525858740e-07,1.279934962568e-06,-29.615299,-33.116224,-28.928121
27,13.5,1.351797542341e-06,5.180782104831e-07,1.272296687117e-06,-28.690883,-32.856047,-28.954116
28,14.0,1.156010986933e-06,3.683983374706e-07,1.473488332877e-06,-29.370380,-34.336823,-28.316533
29,14.5,1.374252794612e-06,3.645483733717e-07,1.486825037736e-06,-28.619334,-34.382448,-28.277401
30,15.0,2.139063161001e-06,2.746860525747e-07,1.873437292166e-06,-26.697764,-35.611634,-27.273608
31,15.5,4.173114304834e-06,2.723088314886e-07,9.846422226855e-07,-23.795397,-35.649383,-30.067215
32,16.0,5.130799076068e-05,2.131627731028e-07,1.141620936877e-06,-12.898150,-36.712886,-29.424781
33,16.5,3.938262377819e-05,2.135166021476e-07,1.008501607559e-06,-14.046954,-36.705684,-29.963234
34,17.0,8.133729981667e-06,2.020826234938e-07,6.747814572388e-07,-20.897102,-36.944710,-31.708369
35,17.5,9.152800314599e-06,2.015476935940e-07,6.938608844220e-07,-20.384460,-36.956222,-31.587276
36,18.0,6.942316477729e-06,2.048526661999e-07,9.441138872234e-07,-21.584956,-36.885584,-30.249756
37,18.5,4.435234069744e-06,1.958568405938e-07,1.306018002478e-06,-23.530835,-37.080613,-28.840508
38,19.0,5.059981306628e-06,2.000676414039e-07,1.884403791761e-06,-22.958511,-36.988231,-27.248260
39,19.5,3.358047073415e-06,2.039383911314e-07,4.802985412104e-06,-24.739132,-36.905010,-23.184887
40,20.0,1.761939405264e-06,2.152414056258e-07,4.975047216876e-06,-27.540090,-36.670742,-23.032028
