timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
0,0.0,154.791210,87.775688,51.515875,139.473606,18.835470,58.537341,152.227940,157.212861,7.686818,143.618405,92.570307,39.048167,138.092979,13.723376,39.707249,149.006250,148.282918,0.345402,160.674720,166.752655,17.644703,134.784988,12.925968,49.149230,146.193319,18.157247,53.536677,164.881962,99.303626,59.940246,15,+x-y,144.104846,8.145520,56.192177,15,+x-y,146.405830,154.705483,21.310257,7,-y+z
1,0.5,157.289210,87.775688,51.615849,136.975606,18.835470,58.637314,154.725941,157.212861,7.786791,146.114662,92.603945,39.180726,135.595958,13.758035,39.824226,151.500732,148.339774,1.000000,163.172673,166.726991,17.742518,132.287676,12.871011,49.251258,143.694486,18.121581,53.604204,167.003282,97.182306,59.000000,15,+x-y,146.226167,6.024200,56.192177,15,+x-y,146.405830,152.584162,23.431577,7,-y+z
2,1.0,159.787210,87.775688,51.715822,134.477605,18.835470,58.737288,157.223941,157.212861,7.886765,148.610918,92.637583,39.313285,133.098937,13.792693,39.941204,153.995213,148.396630,1.000000,165.670627,166.701327,17.840334,129.790363,12.816055,49.353286,141.195652,18.085915,53.671730,169.124602,95.060985,59.000000,15,+x-y,148.347487,3.902880,56.192177,15,+x-y,146.405830,150.462842,25.552898,7,-y+z
3,1.5,162.285211,87.775688,51.815795,131.979605,18.835470,58.837261,159.721941,157.212861,7.986738,151.107175,92.671220,39.445844,130.601915,13.827352,40.058181,156.489695,148.453487,1.155979,168.168581,166.675662,17.938150,127.293050,12.761099,49.455314,138.696819,18.050249,53.739257,171.245923,92.939665,59.000000,15,+x-y,150.468807,1.781559,56.192177,15,+x-y,146.405830,148.341522,27.674218,7,-y+z
4,2.0,164.776499,87.941382,51.689190,129.605566,18.061522,58.959509,162.180438,156.942306,8.350871,153.567304,92.539303,39.870532,128.112550,13.597367,40.071156,158.950242,148.063413,1.364668,170.606670,166.125467,17.992986,124.832136,13.166419,49.627399,136.213747,18.327161,53.826838,173.367243,90.818345,59.000000,15,+x-y,152.590128,1.000000,56.192177,15,+x-y,146.405830,146.220201,29.795538,7,-y+z
5,2.5,167.267787,88.107076,51.562585,127.231527,17.287574,59.000000,164.638935,156.671751,8.715004,156.027434,92.407385,40.295221,125.623185,13.367383,40.084131,161.410789,147.673340,1.573358,173.044759,165.575272,18.047822,122.371221,13.571739,49.799485,133.730674,18.604073,53.914420,175.488563,88.697024,59.000000,15,+x-y,154.711448,1.000000,56.192177,15,+x-y,146.405830,144.098881,31.916859,7,-y+z
6,3.0,169.759075,88.272770,51.435980,124.857488,16.513627,58.877752,167.097432,156.401195,9.079137,158.487564,92.275467,40.719909,123.133820,13.137398,40.097106,163.871336,147.283267,1.782048,175.482848,165.025077,18.102657,119.910306,13.977060,49.971570,131.247601,18.880984,54.002001,177.609884,86.575704,59.000000,15,+x-y,156.832768,1.000000,56.192177,15,+x-y,146.405830,141.977560,34.038179,7,-y+z
7,3.5,172.250363,88.438464,51.309375,122.483450,15.739679,58.755504,169.555929,156.130640,9.443270,160.947693,92.143550,41.144597,120.644455,12.907414,40.110081,166.331883,146.893193,1.990738,177.920937,164.474882,18.157493,117.449391,14.382380,50.143655,128.764529,19.157896,54.089583,179.731204,84.454384,59.000000,15,+x-y,158.954089,1.000000,56.192177,15,+x-y,146.405830,139.856240,36.159499,7,-y+z
8,4.0,174.686289,88.991701,51.410345,121.099874,13.662673,58.903037,171.976063,155.745699,9.938012,163.349224,92.131924,41.839230,119.015467,11.031542,39.831685,168.796004,146.512866,2.173656,180.376142,164.648412,18.595508,115.154215,15.307414,50.499297,127.832228,21.467231,53.870977,181.852524,82.333063,59.000000,15,+x-y,161.075409,1.000000,56.192177,15,+x-y,146.405830,137.734920,38.280820,7,-y+z
9,4.5,177.122214,89.544939,51.511316,119.716299,11.585667,59.000000,174.396198,155.360758,10.432754,165.750755,92.120299,42.533863,117.386480,9.155670,39.553289,171.260125,146.132538,2.356574,182.831347,164.821942,19.033523,112.859040,16.232448,50.854939,126.899927,23.776565,53.652370,183.973845,80.211743,59.000000,15,+x-y,163.196729,1.000000,56.192177,15,+x-y,146.405830,135.613599,40.402140,7,-y+z
10,5.0,179.558140,90.098176,51.612286,118.332724,9.508661,58.852467,176.816332,154.975818,10.927496,168.152285,92.108673,43.228496,115.757492,7.279798,39.274894,173.724246,145.752211,2.539492,185.286552,164.995472,19.471537,110.563864,17.157483,51.210581,125.967626,26.085900,53.433764,186.095165,78.090423,59.000000,15,+x-y,165.318050,1.000000,56.192177,15,+x-y,146.405830,133.492279,42.523461,7,-y+z
